0.675	-0.538	1.000
-0.171	0.900	-1.000
1.815	-0.311	1.000
1.941	-0.412	1.000
0.053	0.963	-1.000
-0.315	0.205	1.000
0.367	0.598	-1.000
1.351	-0.403	1.000
0.715	0.428	-1.000
0.554	0.768	-1.000
1.843	0.383	1.000
1.001	0.390	-1.000
0.852	0.367	-1.000
-0.996	-0.173	-1.000
-0.670	0.363	-1.000
0.559	-0.299	1.000
0.492	0.894	-1.000
-0.088	0.949	-1.000
-1.233	0.366	-1.000
-1.110	0.398	-1.000
-0.618	1.204	-1.000
-1.185	0.337	-1.000
-0.951	0.187	-1.000
1.614	-0.337	1.000
0.432	0.901	-1.000
1.004	-0.132	1.000
-1.077	0.231	-1.000
1.402	-0.162	1.000
-0.310	0.636	-1.000
1.954	0.372	1.000
1.158	-0.664	1.000
-0.700	0.032	-1.000
1.876	0.254	1.000
0.322	0.704	-1.000
-0.647	0.719	-1.000
0.775	0.456	-1.000
-1.012	0.478	-1.000
0.005	1.131	-1.000
-0.073	1.275	-1.000
0.574	0.703	-1.000
0.173	0.299	1.000
-0.035	0.209	1.000
0.471	-0.734	1.000
-0.098	0.350	1.000
-0.125	-0.136	1.000
0.299	-0.775	1.000
0.105	0.479	1.000
2.056	0.453	1.000
0.989	0.354	-1.000
-1.207	-0.017	-1.000
0.976	-0.971	1.000
1.252	-0.094	-1.000
-1.108	0.689	-1.000
1.442	-0.066	1.000
0.331	-0.177	1.000
0.792	-0.460	1.000
0.833	-0.565	1.000
-0.188	0.646	-1.000
0.172	1.196	-1.000
0.527	-0.245	1.000
-0.078	0.570	1.000
0.413	0.977	-1.000
2.004	-0.102	1.000
-0.204	1.014	-1.000
0.863	0.577	-1.000
0.224	-0.225	1.000
1.053	0.165	-1.000
-0.095	0.589	1.000
0.098	1.031	-1.000
0.891	-0.399	1.000
1.464	-0.494	1.000
0.357	-0.314	1.000
-0.960	0.209	-1.000
0.551	1.001	-1.000
0.308	-0.043	1.000
-1.151	0.378	-1.000
-0.933	0.660	-1.000
-0.132	0.585	1.000
-1.097	0.554	-1.000
0.753	0.528	-1.000
-0.799	0.452	-1.000
-0.837	0.704	-1.000
0.039	0.209	1.000
0.772	-0.627	1.000
1.063	-0.170	-1.000
0.866	0.605	-1.000
0.714	0.508	-1.000
0.149	-0.114	1.000
0.722	-0.387	1.000
2.097	0.448	1.000
1.942	0.049	1.000
2.106	0.112	1.000
0.278	-0.316	1.000
-0.493	1.011	-1.000
0.556	-0.756	1.000
0.172	0.690	-1.000
0.211	1.020	-1.000
0.187	1.014	-1.000
1.121	0.019	-1.000
1.895	-0.390	1.000
0.067	0.992	-1.000
-0.425	0.774	-1.000
0.829	0.263	-1.000
1.727	0.165	1.000
-0.702	0.763	-1.000
1.881	0.044	1.000
0.816	-0.516	1.000
0.335	-0.716	1.000
-0.597	1.056	-1.000
1.269	-0.486	1.000
0.972	-0.385	1.000
0.992	0.524	-1.000
0.634	0.587	-1.000
0.826	-0.587	1.000
0.237	-0.157	1.000
0.913	-0.233	1.000
1.105	-0.444	1.000
1.661	0.325	1.000
1.513	-0.185	1.000
0.539	0.662	-1.000
1.184	-0.390	1.000
-0.398	0.807	-1.000
0.684	-0.378	1.000
1.882	-0.148	1.000
-0.857	0.823	-1.000
0.631	0.821	-1.000
-0.183	0.313	1.000
0.199	0.023	1.000
-0.310	0.678	-1.000
0.877	0.033	-1.000
0.325	-0.323	1.000
1.748	-0.165	1.000
0.854	0.739	-1.000
-0.671	0.656	-1.000
-0.937	0.621	-1.000
-0.860	0.164	-1.000
1.261	-0.121	1.000
-0.598	0.348	-1.000
-0.141	0.092	1.000
1.058	0.546	-1.000
-0.006	1.037	-1.000
2.010	-0.008	1.000
1.674	-0.402	1.000
0.958	-0.242	1.000
0.084	0.342	1.000
-0.051	0.076	1.000
1.892	0.287	1.000
1.653	-0.041	1.000
0.286	-0.251	1.000
0.883	-0.114	-1.000
1.342	-0.676	1.000
0.119	0.471	1.000
1.592	-0.199	1.000
-0.599	0.787	-1.000
-0.196	0.824	-1.000
-1.211	0.099	-1.000
0.237	-0.299	1.000
-0.695	0.873	-1.000
-1.193	0.450	-1.000
-0.442	0.872	-1.000
0.515	-0.145	1.000
0.198	0.957	-1.000
0.243	-0.458	1.000
1.232	0.709	-1.000
-0.795	0.399	-1.000
0.286	1.055	-1.000
-0.392	1.041	-1.000
0.736	0.394	-1.000
1.012	0.655	-1.000
1.388	-0.305	1.000
0.738	0.567	-1.000
0.249	-0.284	1.000
0.331	-0.190	1.000
0.567	0.731	-1.000
0.005	0.312	1.000
-1.027	0.303	-1.000
1.838	0.411	1.000
1.045	-0.756	1.000
1.434	-0.320	1.000
1.294	-0.429	1.000
0.857	0.152	-1.000
1.762	0.280	1.000
0.093	0.082	1.000
2.065	0.363	1.000
0.410	0.235	1.000
0.196	-0.359	1.000
0.466	0.747	-1.000
1.798	0.310	1.000
0.443	0.889	-1.000
1.197	-0.385	1.000
-0.392	0.848	-1.000
-0.505	0.647	-1.000
0.303	0.897	-1.000
1.136	-0.664	1.000
0.159	1.196	-1.000
0.116	1.012	-1.000
1.725	-0.166	1.000
2.098	0.127	1.000
0.945	0.738	-1.000
1.182	-0.534	1.000
